,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2125,Oasis,Champagne Supernova - Remastered,0.286,0.796,2,-4.625,1,0.0388,0.47,0.063,0.364,0.12,150.272,audio_features,40bynawzslg9U7ACq07fAj,spotify:track:40bynawzslg9U7ACq07fAj,https://api.spotify.com/v1/tracks/40bynawzslg9U7ACq07fAj,https://api.spotify.com/v1/audio-analysis/40bynawzslg9U7ACq07fAj,448438,4
2126,Mick Jagger,Just Another Night,0.741,0.742,9,-10.382,0,0.0456,0.193,0.00782,0.105,0.892,131.857,audio_features,0pUHXCa6qC6MJvj9UFtiZW,spotify:track:0pUHXCa6qC6MJvj9UFtiZW,https://api.spotify.com/v1/tracks/0pUHXCa6qC6MJvj9UFtiZW,https://api.spotify.com/v1/audio-analysis/0pUHXCa6qC6MJvj9UFtiZW,315933,4
2127,Keith Richards,Make No Mistake,0.728,0.452,2,-12.96,1,0.0338,0.146,0.000177,0.226,0.552,92.108,audio_features,6rm2y56XC5TteLr6KKJJdN,spotify:track:6rm2y56XC5TteLr6KKJJdN,https://api.spotify.com/v1/tracks/6rm2y56XC5TteLr6KKJJdN,https://api.spotify.com/v1/audio-analysis/6rm2y56XC5TteLr6KKJJdN,293163,4
2128,Jason Isbell and the 400 Unit,Danko/Manuel - Live,0.432,0.403,6,-8.748,0,0.0282,0.787,0.00428,0.218,0.186,109.392,audio_features,3s5nA62lksxd3jx33cEl9D,spotify:track:3s5nA62lksxd3jx33cEl9D,https://api.spotify.com/v1/tracks/3s5nA62lksxd3jx33cEl9D,https://api.spotify.com/v1/audio-analysis/3s5nA62lksxd3jx33cEl9D,405480,4
2129,James McMurtry,Choctaw Bingo,0.321,0.797,11,-7.136,0,0.0406,0.0625,0.0191,0.0828,0.729,203.942,audio_features,3JbUeYsABL2v3OYDLgpWa7,spotify:track:3JbUeYsABL2v3OYDLgpWa7,https://api.spotify.com/v1/tracks/3JbUeYsABL2v3OYDLgpWa7,https://api.spotify.com/v1/audio-analysis/3JbUeYsABL2v3OYDLgpWa7,515333,4
2130,Freddy Fender,Wasted Days and Wasted Nights (Original Version),0.646,0.304,4,-15.798,0,0.0404,0.633,0.00535,0.112,0.965,125.007,audio_features,4pvb6DyuoMyftAGT1GXoA8,spotify:track:4pvb6DyuoMyftAGT1GXoA8,https://api.spotify.com/v1/tracks/4pvb6DyuoMyftAGT1GXoA8,https://api.spotify.com/v1/audio-analysis/4pvb6DyuoMyftAGT1GXoA8,169826,3
2131,Fleetwood Mac,Gold Dust Woman - 2004 Remaster,0.666,0.599,7,-9.352,1,0.0305,0.259,0.000769,0.373,0.696,123.16,audio_features,2ssyECwAX5JxtcAUTFw7wI,spotify:track:2ssyECwAX5JxtcAUTFw7wI,https://api.spotify.com/v1/tracks/2ssyECwAX5JxtcAUTFw7wI,https://api.spotify.com/v1/audio-analysis/2ssyECwAX5JxtcAUTFw7wI,295627,4
2132,Emmylou Harris,Till I Gain Control Again - 2003 Remaster,0.497,0.302,10,-12.475,1,0.0255,0.644,0.00462,0.144,0.456,102.221,audio_features,2DHoZH84E1EujXggZlgEfp,spotify:track:2DHoZH84E1EujXggZlgEfp,https://api.spotify.com/v1/tracks/2DHoZH84E1EujXggZlgEfp,https://api.spotify.com/v1/audio-analysis/2DHoZH84E1EujXggZlgEfp,335493,4
2133,Deep Purple,Perfect Strangers,0.516,0.687,2,-8.611,1,0.0244,0.00398,0.0187,0.293,0.67,97.58,audio_features,2N3ejaxNBBTdcSGkacjg9s,spotify:track:2N3ejaxNBBTdcSGkacjg9s,https://api.spotify.com/v1/tracks/2N3ejaxNBBTdcSGkacjg9s,https://api.spotify.com/v1/audio-analysis/2N3ejaxNBBTdcSGkacjg9s,327293,4
2134,Chuck Berry,Rock And Roll Music,0.539,0.784,8,-5.909,1,0.0514,0.483,0.000279,0.0663,0.872,165.343,audio_features,0pMEI7gz8EBQraSuT987iZ,spotify:track:0pMEI7gz8EBQraSuT987iZ,https://api.spotify.com/v1/tracks/0pMEI7gz8EBQraSuT987iZ,https://api.spotify.com/v1/audio-analysis/0pMEI7gz8EBQraSuT987iZ,153840,4
